target_lambda2,target_region,run_index,seed,num_parameters,preliminary_loss,preliminary_optimizer_success,preliminary_status,preliminary_message,preliminary_nit,preliminary_nfev,preliminary_njev,refined,refinement_loss,refinement_optimizer_success,refinement_status,refinement_message,refinement_nit,refinement_nfev,refinement_njev,final_total_loss,scientific_success,total_nit,total_nfev,total_njev,final_gradient_inf_norm,wall_time_s
0.80000000000000004,interior,88,2026073288,274,1.1307959854871597e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,115,118,118,True,2.0723921471369403e-15,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3539,3635,3635,2.0723921471369403e-15,True,3654,3753,3753,1.124153856479489e-11,16.94054
0.80000000000000004,interior,97,2026073297,274,0.16224193219323896,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,114,114,False,,,,,0,0,0,0.16224193219323896,False,107,114,114,9.1608739218010041e-05,0.511352917
0.80000000000000004,interior,96,2026073296,274,5.5303770756582299e-08,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,105,108,108,True,3.0143115894337233e-16,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2745,2831,2831,3.0143115894337233e-16,True,2850,2939,2939,4.7328803362261468e-12,12.7506348
0.80000000000000004,interior,95,2026073295,274,4.6376569695664511e-08,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,112,112,True,1.3315896492905046e-16,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5053,5205,5205,1.3315896492905046e-16,True,5160,5317,5317,4.0048050970780465e-12,21.1014439
0.80000000000000004,interior,98,2026073298,274,3.7939029965422965e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,80,82,82,True,1.6559457889489767e-15,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2417,2491,2491,1.6559457889489767e-15,True,2497,2573,2573,6.9324327220963668e-12,10.3441615
1,upper_boundary,0,2026074200,274,1.1355569079907504e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73,78,78,True,2.2837759858120937e-16,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,716,744,744,2.2837759858120937e-16,True,789,822,822,1.3983250849282803e-11,3.98487167
1,upper_boundary,2,2026074202,274,1.5264630010180137e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,141,150,150,True,7.7701555135646897e-16,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,613,684,684,7.7701555135646897e-16,True,754,834,834,1.5544872305785594e-10,3.90103937
1,upper_boundary,3,2026074203,274,4.4043288377003769e-08,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,71,74,74,True,2.1085908472388285e-18,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,615,635,635,2.1085908472388285e-18,True,686,709,709,5.7021767942198331e-12,3.43080863
1,upper_boundary,5,2026074205,274,0.074015964608613691,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,84,89,89,False,,,,,0,0,0,0.074015964608613691,False,84,89,89,7.0469967246492054e-05,0.476087333
0.80000000000000004,interior,99,2026073299,274,2.4465514868557242e-08,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,122,127,127,True,1.3524890213940551e-14,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3837,3942,3942,1.3524890213940551e-14,True,3959,4069,4069,5.7860039082081621e-12,18.891813
